product_name,price (INR),rating,product_page
Women Synthetic Pumps (31-9419),"2,690",4 Stars & Up,amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A0821329ZJGXNUMTF4JK&url=%2FMetro-Women-Synthetic-Black-31-9419-11-40%2Fdp%2FB08CRBS6YC%2Fref%3Dsr_1_49_sspa%3Fdchild%3D1%26keywords%3Dstiletto%2Bheels%26qid%3D1557851935%26sr%3D8-49-spons%26psc%3D1&qualifier=1608722698&id=6835567768709568&widgetName=sp_atf_next
NT34 Sandal for Men,599,3 Stars & Up,amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A09173333W3ON82JIF9GF&url=%2FAEROWALK-NT34-Sandal-Men-Brown%2Fdp%2FB089N985J4%2Fref%3Dsr_1_50_sspa%3Fdchild%3D1%26keywords%3Dstiletto%2Bheels%26qid%3D1557851935%26sr%3D8-50-spons%26psc%3D1&qualifier=1608722698&id=6835567768709568&widgetName=sp_atf_next
Women's Pumps,"1,718",2 Stars & Up,amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A08206172YVCGMPCBZFA6&url=%2FMetro-Womens-Blue-Pumps-5-31-9107%2Fdp%2FB07MZ93J2F%2Fref%3Dsr_1_51_sspa%3Fdchild%3D1%26keywords%3Dstiletto%2Bheels%26qid%3D1557851935%26sr%3D8-51-spons%26psc%3D1&qualifier=1608722698&id=6835567768709568&widgetName=sp_atf_next
Women's Mules,"1,194",1 Star & Up,amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A07700822TXMC636JEXHS&url=%2FMetro-Chikoo-Synthetic-34-9525-22-38-Chikoo-Euro38%2Fdp%2FB084TJXXSX%2Fref%3Dsr_1_52_sspa%3Fdchild%3D1%26keywords%3Dstiletto%2Bheels%26qid%3D1557851935%26sr%3D8-52-spons%26psc%3D1&qualifier=1608722698&id=6835567768709568&widgetName=sp_atf_next
Women's Fashion Sandal,589,4.0 out of 5 stars,amazon.in/Do-Bhai-Women-Green-Synthetic/dp/B07GSTL8BH/ref=sr_1_53?dchild=1&keywords=stiletto+heels&qid=1557851935&sr=8-53
Women's & Girl Sandal Big Heel Sandal,479,5.0 out of 5 stars,amazon.in/Mahila-Womens-Sandal-Maroon-Numeric_3/dp/B08K3FJ975/ref=sr_1_54?dchild=1&keywords=stiletto+heels&qid=1557851935&sr=8-54
4 inches Comfortable Stiletto Heels for Women & Girls,549,3.9 out of 5 stars,amazon.in/YUVRATO-BAXI-inches-Comfortable-Stiletto/dp/B0894HY4DS/ref=sr_1_55?dchild=1&keywords=stiletto+heels&qid=1557851935&sr=8-55
Women's Sandal Open Toe Block Heel Sandal,489,4.2 out of 5 stars,amazon.in/Mahila-Womens-Sandal-Golden-Numeric_3/dp/B08K48Z48S/ref=sr_1_56?dchild=1&keywords=stiletto+heels&qid=1557851935&sr=8-56
Women Slip-On Heel Slippers,799,4.0 out of 5 stars,amazon.in/DYMO-FOOTWEAR-Women-Slippers-Golden/dp/B08J1D4W8H/ref=sr_1_57?dchild=1&keywords=stiletto+heels&qid=1557851935&sr=8-57
"Women Synthetic Suede Comfortable Slip-on Stiletto Heel Suitable for Evening/Party/Festive Occasions Pointed Toe Heels- (NOTE:: If you have broad/wide feet than normal, we recommend you to buy one size larger. So, if you usually buy 37 EU, buy 38 EU. Otherwise buy as per your Standard Size only)",710,5.0 out of 5 stars,amazon.in/meriggiare%C2%AE-Synthetic-Comfortable-Stiletto-Occasions/dp/B07QS7VC4Z/ref=sr_1_58?dchild=1&keywords=stiletto+heels&qid=1557851935&sr=8-58
